classification_code,category
552308,음식점
552101,음식점
552114,음식점
552115,음식점
552116,음식점
552102,음식점
552103,음식점
552104,음식점
552117,음식점
552109,음식점
552105,음식점
552118,음식점
552309,음식점
552107,음식점
552119,음식점
552108,음식점
552123,음식점
552305,음식점
552201,음식점
552202,음식점
552204,음식점
552206,음식점
552203,음식점
552205,음식점
552210,음식점
552207,음식점
552208,음식점
552209,음식점
552307,음식점
551001,숙박업
551002,숙박업
551009,숙박업
551004,숙박업
551010,숙박업
551005,숙박업
551006,숙박업
551015,숙박업
551016,숙박업
551017,숙박업
552301,카페/디저트
552303,카페/디저트
523111,병원/약국
523114,병원/약국
851101,병원/약국
851102,병원/약국
851103,병원/약국
851201,병원/약국
851202,병원/약국
851203,병원/약국
851204,병원/약국
851205,병원/약국
851206,병원/약국
851207,병원/약국
851208,병원/약국
851209,병원/약국
851211,병원/약국
851212,병원/약국
851219,병원/약국
851901,병원/약국
851902,병원/약국
851903,병원/약국
851904,병원/약국
851905,병원/약국
851906,병원/약국
851907,병원/약국
851908,병원/약국
852000,병원/약국
930100,뷰티/미용
930201,뷰티/미용
930203,뷰티/미용
930205,뷰티/미용
930901,뷰티/미용
930902,뷰티/미용
809001,학원/교육
809002,학원/교육
809003,학원/교육
809004,학원/교육
809005,학원/교육
809007,학원/교육
809009,학원/교육
809010,학원/교육
809011,학원/교육
809012,학원/교육
501101,도/소매
501201,도/소매
501301,도/소매
501302,도/소매
501103,도/소매
501202,도/소매
501303,도/소매
503001,도/소매
503002,도/소매
503006,도/소매
503009,도/소매
503007,도/소매
503010,도/소매
503008,도/소매
503013,도/소매
503005,도/소매
503003,도/소매
503004,도/소매
504001,도/소매
504002,도/소매
511111,도/소매
511112,도/소매
511122,도/소매
511123,도/소매
511113,도/소매
511114,도/소매
511118,도/소매
511121,도/소매
511115,도/소매
511116,도/소매
511117,도/소매
511119,도/소매
749927,도/소매
512111,도/소매
512112,도/소매
512119,도/소매
512113,도/소매
512135,도/소매
512120,도/소매
512131,도/소매
512132,도/소매
512133,도/소매
512140,도/소매
512192,도/소매
512190,도/소매
512221,도/소매
512222,도/소매
512211,도/소매
512214,도/소매
512212,도/소매
512215,도/소매
512223,도/소매
512224,도/소매
512233,도/소매
512236,도/소매
512231,도/소매
512232,도/소매
512234,도/소매
512235,도/소매
512281,도/소매
512271,도/소매
512289,도/소매
512241,도/소매
512242,도/소매
512243,도/소매
512244,도/소매
512245,도/소매
512290,도/소매
512282,도/소매
512283,도/소매
512285,도/소매
512294,도/소매
512273,도/소매
512272,도/소매
512116,도/소매
512284,도/소매
512280,도/소매
512274,도/소매
512279,도/소매
512287,도/소매
512288,도/소매
512295,도/소매
512251,도/소매
512252,도/소매
512260,도/소매
512286,도/소매
513111,도/소매
513112,도/소매
